"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"127","Antigua and Barbuda","","","-","16.67"
"127","Djibouti","","","-","16.67"
"127","Saint Kitts and Nevis","","","-","16.67"
"127","Saint Vincent and the Grenadines","","","-","16.67"
"127","Eritrea","","","-","16.67"
"127","Maldives","","","-","16.67"
"127","Sao Tome and Principe","","","-","16.67"
"127","Central African Republic","","","-","16.67"
"127","Grenada","","","-","16.67"
"127","Bahamas","","","-","16.67"
"127","Dominica","","","-","16.67"
"127","Tonga","","","-","16.67"
"127","Virgin Islands, U.S.","","","-","16.67"
"127","French Guiana","","","-","16.67"
"127","Martinique","","","-","16.67"
"127","Netherlands Antilles","","","-","16.67"
"127","Virgin Islands, British","","","-","16.67"
"127","Cook Islands","","","-","16.67"
"127","American Samoa","","","-","16.67"
"127","Greenland","","","-","16.67"
"127","Jersey","","","-","16.67"
"127","Gibraltar","","","-","16.67"
"127","Sint Maarten (Dutch part)","","","-","16.67"
"127","Turks and Caicos Islands","","","-","16.67"
"127","Mayotte","","","-","16.67"
"128","Yemen","","Weakness","-","8.58"
